ID,Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Total
0,7,USA,West,CA,Orange Creepies,300,49,14700
1,9,USA,Northeast,RI,Farm Fresh,365,49,17885
2,10,USA,South,TN,Farm Fresh,365,10,3650
3,12,USA,South,FL,Organiks,257,27,6939
4,12,USA,South,MD,PearApple,363,83,30129
5,8,USA,South,KY,Big Waffle,268,5,1340
6,4,USA,South,SC,Farm Fresh,365,82,29930
7,3,USA,West,AZ,Funky Pops,380,62,23560
8,4,USA,Northeast,MA,Ultra-Salty Chips,454,28,12712
9,10,USA,South,DE,Just The Fruit,160,30,4800
10,9,USA,Northeast,MA,Yellow Zonkers,134,92,12328
11,10,USA,South,FL,Purple Pain,105,71,7455
12,1,USA,West,NV,Orange Creepies,300,67,20100
13,8,USA,South,NC,Grey Gummies,446,89,39694
14,7,USA,West,AZ,Farm Fresh,365,43,15695
15,2,USA,West,HI,Future Toast,253,44,11132
16,6,USA,South,MD,Farm Fresh,365,16,5840
17,8,USA,Northeast,RI,Giant Gummies,347,100,34700
18,8,USA,South,MD,Nap Be Gone,500,27,13500
19,7,USA,West,ID,Power Gels,193,42,8106
20,5,USA,South,SC,Power Gels,193,29,5597
21,12,USA,South,NC,Future Toast,253,85,21505
22,3,USA,South,MD,Ultra-Salty Chips,454,16,7264
23,3,USA,West,NV,Giant Gummies,347,61,21167
24,12,USA,South,FL,Future Toast,253,17,4301
25,1,USA,Midwest,MI,Cheezos,372,16,5952
26,6,USA,West,NV,Green Lightning,161,96,15456
27,4,USA,South,DE,Only Pancakes,413,26,10738
28,12,USA,West,AZ,Only Pancakes,413,10,4130
29,2,USA,Northeast,VT,Future Toast,253,59,14927
30,10,USA,Midwest,NE,Future Toast,253,42,10626
31,2,USA,South,TN,Just The Fruit,160,7,1120
32,4,USA,West,WA,Meat B Gone,495,59,29205
33,9,USA,South,DE,Just The Fruit,160,7,1120
34,7,USA,Midwest,IL,Rotpunkt,220,54,11880
35,1,USA,West,CA,Orange Creepies,300,8,2400
36,7,USA,South,DE,Panda Gummies,104,68,7072
37,7,USA,Midwest,MO,Orange Creepies,300,78,23400
38,6,USA,South,FL,Yellow Zonkers,134,94,12596
39,6,USA,South,MD,Giant Gummies,347,71,24637
40,10,USA,South,FL,Grey Gummies,446,46,20516
41,11,USA,South,FL,Just The Fruit,160,10,1600
42,4,USA,South,NC,Red Hot Chili Peppers,233,82,19106
43,4,USA,Northeast,VT,Power Gels,193,78,15054
44,6,USA,South,TN,Nap Be Gone,500,84,42000
45,4,USA,South,NC,GMO Guardian,176,5,880
46,6,USA,Midwest,MO,GMO Guardian,176,23,4048
47,5,USA,Northeast,MA,Only Pancakes,413,2,826
48,3,USA,Midwest,IL,Grey Gummies,446,1,446
49,8,USA,South,MD,Rotpunkt,220,51,11220
50,6,USA,Midwest,MI,Meat B Gone,495,38,18810
51,12,USA,Midwest,MI,Only Pancakes,413,97,40061
52,3,USA,South,DE,Power Gels,193,38,7334
53,10,USA,West,WA,Panda Gummies,104,30,3120
54,2,USA,West,CA,Nap Be Gone,500,96,48000
55,6,USA,Midwest,MI,GMO Guardian,176,57,10032
56,8,USA,South,FL,Crocodile Tears,143,5,715
57,8,USA,South,MD,GMO Guardian,176,60,10560
58,5,USA,South,TN,Rotpunkt,220,66,14520
59,9,USA,South,FL,Meat B Gone,495,23,11385
60,2,USA,West,OR,Purple Pain,105,93,9765
61,9,USA,West,HI,Meat B Gone,495,77,38115
62,11,USA,South,KY,Rotpunkt,220,61,13420
63,9,USA,West,WA,Panda Gummies,104,19,1976
64,9,USA,West,OR,Red Rock Candy,189,92,17388
65,12,USA,South,FL,Purple Pain,105,14,1470
66,2,USA,Northeast,VT,Giant Gummies,347,30,10410
67,8,USA,Northeast,MA,Nap Be Gone,500,5,2500
68,8,USA,South,NC,Future Toast,253,90,22770
69,11,USA,Midwest,MO,Meat B Gone,495,22,10890
70,3,USA,Northeast,RI,Just The Fruit,160,29,4640
71,8,USA,South,MD,Red Rock Candy,189,71,13419
72,9,USA,South,TN,Funky Pops,380,67,25460
73,12,USA,South,DE,Nap Be Gone,500,64,32000
74,4,USA,South,DE,Ultra-Salty Chips,454,67,30418
75,4,USA,West,OR,Orange Creepies,300,15,4500
76,6,USA,South,DE,Red Rock Candy,189,9,1701
77,11,USA,West,NV,Red Hot Chili Peppers,233,87,20271
78,6,USA,South,FL,Mr Greens,447,54,24138
79,7,USA,West,CA,Cheezos,372,20,7440
80,9,USA,South,MD,PearApple,363,39,14157
81,10,USA,South,MD,Cheezos,372,26,9672
82,9,USA,South,MD,Power Gels,193,30,5790
83,12,USA,South,KY,Power Gels,193,73,14089
84,12,USA,Midwest,NE,Ultra-Salty Chips,454,32,14528
85,8,USA,Midwest,MO,GMO Guardian,176,63,11088
86,4,USA,West,WA,Giant Gummies,347,27,9369
87,10,USA,South,FL,Ultra-Salty Chips,454,86,39044
88,6,USA,South,NC,Purple Pain,105,89,9345
89,9,USA,Midwest,IL,Green Lightning,161,54,8694
90,1,USA,South,FL,Panda Gummies,104,14,1456
91,7,USA,South,DE,Power Gels,193,60,11580
92,6,USA,South,MD,Rotpunkt,220,36,7920
93,7,USA,West,HI,Yellow Zonkers,134,59,7906
94,11,USA,South,SC,Nap Be Gone,500,39,19500
95,11,USA,South,FL,Yellow Zonkers,134,67,8978
96,11,USA,South,FL,GMO Guardian,176,13,2288
97,8,USA,Midwest,NE,Ultra-Salty Chips,454,62,28148
98,6,USA,Northeast,MA,Green Lightning,161,92,14812
99,7,USA,South,SC,Cheezos,372,54,20088
100,3,USA,West,HI,PearApple,363,64,23232
101,4,USA,South,FL,Mr Greens,447,31,13857
102,10,USA,Northeast,RI,Funky Pops,380,33,12540
103,10,USA,West,CA,Farm Fresh,365,8,2920
104,3,USA,South,TN,Ultra-Salty Chips,454,24,10896
105,1,USA,South,SC,Only Pancakes,413,31,12803
106,2,USA,West,CA,Red Hot Chili Peppers,233,36,8388
107,3,USA,South,FL,Panda Gummies,104,13,1352
108,2,USA,West,NV,Funky Pops,380,46,17480
109,2,USA,Northeast,RI,Yellow Zonkers,134,7,938
110,9,USA,Northeast,MA,Red Hot Chili Peppers,233,12,2796
111,7,USA,Midwest,NE,Future Toast,253,90,22770
112,11,USA,West,CA,Power Gels,193,87,16791
113,6,USA,South,MD,Mr Greens,447,75,33525
114,7,USA,West,OR,Red Rock Candy,189,83,15687
115,12,USA,South,MD,Panda Gummies,104,26,2704
116,4,USA,Midwest,IL,GMO Guardian,176,89,15664
117,1,USA,Midwest,MI,Just The Fruit,160,7,1120
118,3,USA,West,ID,Giant Gummies,347,80,27760
119,9,USA,West,AZ,Nap Be Gone,500,35,17500
120,3,USA,South,KY,Green Lightning,161,36,5796
121,2,USA,Midwest,IL,Farm Fresh,365,85,31025
122,5,USA,South,TN,Power Gels,193,90,17370
123,5,USA,West,HI,Green Lightning,161,48,7728
124,3,USA,South,KY,GMO Guardian,176,73,12848
125,11,USA,South,FL,Only Pancakes,413,5,2065
126,3,USA,South,KY,Future Toast,253,77,19481
127,9,USA,West,OR,Funky Pops,380,20,7600
128,11,USA,Midwest,MO,Farm Fresh,365,89,32485
129,7,USA,West,CA,Power Gels,193,55,10615
130,9,USA,South,SC,Green Lightning,161,37,5957
131,6,USA,South,SC,PearApple,363,94,34122
132,8,USA,South,KY,Giant Gummies,347,78,27066
133,12,USA,South,DE,Panda Gummies,104,16,1664
134,4,USA,South,MD,Grey Gummies,446,61,27206
135,3,USA,Northeast,VT,Purple Pain,105,7,735
136,4,USA,West,HI,Organiks,257,52,13364
137,1,USA,West,CA,Funky Pops,380,12,4560
138,7,USA,West,HI,Panda Gummies,104,5,520
139,1,USA,Northeast,MA,PearApple,363,1,363
140,4,USA,Midwest,MI,Panda Gummies,104,11,1144
141,5,USA,Midwest,NE,GMO Guardian,176,38,6688
142,3,USA,Midwest,IL,Giant Gummies,347,100,34700
143,2,USA,Northeast,VT,Yellow Zonkers,134,77,10318
144,8,USA,West,AZ,Orange Creepies,300,44,13200
145,3,USA,Midwest,NE,PearApple,363,36,13068
146,3,USA,South,DE,Cheezos,372,91,33852
147,3,USA,South,FL,Future Toast,253,93,23529
148,3,USA,West,HI,GMO Guardian,176,98,17248
149,6,USA,Northeast,VT,Nap Be Gone,500,77,38500
150,9,USA,South,TN,Only Pancakes,413,39,16107
151,10,USA,Northeast,RI,Orange Creepies,300,41,12300
152,3,USA,South,FL,Panda Gummies,104,2,208
153,11,USA,West,ID,Orange Creepies,300,18,5400
154,8,USA,West,AZ,Big Waffle,268,27,7236
155,2,USA,West,AZ,Meat B Gone,495,1,495
156,1,USA,South,FL,Orange Creepies,300,94,28200
157,5,USA,South,MD,Funky Pops,380,69,26220
158,5,USA,South,TN,Ultra-Salty Chips,454,54,24516
159,4,USA,West,CA,Mr Greens,447,37,16539
160,4,USA,Midwest,MO,Red Hot Chili Peppers,233,93,21669
161,10,USA,South,DE,PearApple,363,63,22869
162,8,USA,Midwest,NE,Purple Pain,105,34,3570
163,1,USA,South,TN,Future Toast,253,42,10626
164,12,USA,West,HI,PearApple,363,80,29040
165,6,USA,South,TN,Grey Gummies,446,95,42370
166,10,USA,West,WA,Organiks,257,1,257
167,7,USA,South,TN,Power Gels,193,96,18528
168,8,USA,West,OR,Purple Pain,105,7,735
169,12,USA,West,WA,Crocodile Tears,143,64,9152
170,7,USA,Midwest,IL,Organiks,257,77,19789
171,10,USA,South,DE,Yellow Zonkers,134,61,8174
172,11,USA,Northeast,MA,Ultra-Salty Chips,454,43,19522
173,3,USA,West,WA,Organiks,257,40,10280
174,11,USA,South,FL,Purple Pain,105,14,1470
175,7,USA,Northeast,MA,Red Rock Candy,189,25,4725
176,9,USA,South,NC,Farm Fresh,365,62,22630
177,10,USA,South,TN,Farm Fresh,365,22,8030
178,1,USA,South,DE,Grey Gummies,446,29,12934
179,7,USA,Midwest,MO,Meat B Gone,495,6,2970
180,3,USA,Midwest,NE,Panda Gummies,104,3,312
181,9,USA,West,HI,Farm Fresh,365,76,27740
182,4,USA,South,KY,Mr Greens,447,53,23691
