ID,Month,Region,Customer_ID,Product,Per-Unit Price,Quantity_1,Quantity_2
0,1,Midwest,280,PearApple,363,25,92
1,5,West,545,Orange Creepies,300,87,79
2,8,Northeast,131,Future Toast,253,90,6
3,4,Midwest,920,Farm Fresh,365,33,74
4,12,South,358,Rotpunkt,220,4,13
5,1,South,855,GMO Guardian,176,17,45
6,8,Midwest,499,Mr Greens,447,37,95
7,4,Midwest,172,Just The Fruit,160,84,39
8,5,West,618,Funky Pops,380,28,95
9,12,South,116,Giant Gummies,347,98,76
10,11,West,458,Organiks,257,66,68
11,12,Midwest,350,Funky Pops,380,63,90
12,7,South,976,Mr Greens,447,23,99
13,3,South,234,Crocodile Tears,143,64,28
14,6,Midwest,480,Crocodile Tears,143,15,15
15,4,Northeast,554,Giant Gummies,347,26,56
16,1,West,918,Just The Fruit,160,1,75
17,5,Midwest,493,Red Rock Candy,189,40,44
18,11,Midwest,322,Just The Fruit,160,17,97
19,5,South,480,Power Gels,193,8,21
20,3,Midwest,409,Funky Pops,380,32,32
21,6,Midwest,411,Cheezos,372,75,68
22,10,South,162,Nap Be Gone,500,92,52
23,3,Midwest,52,Only Pancakes,413,40,89
24,3,West,824,Red Rock Candy,189,90,10
25,1,South,60,Meat B Gone,495,35,67
26,4,South,788,Panda Gummies,104,29,50
27,6,West,30,Grey Gummies,446,73,88
28,3,Midwest,218,Funky Pops,380,21,52
29,11,Northeast,821,Green Lightning,161,55,79
30,5,West,936,Purple Pain,105,45,84
31,2,South,315,Big Waffle,268,61,30
32,12,West,124,Just The Fruit,160,34,76
33,3,Northeast,883,Ultra-Salty Chips,454,61,6
34,11,South,329,Power Gels,193,89,59
35,9,South,624,Grey Gummies,446,85,92
36,5,Northeast,795,Rotpunkt,220,91,96
37,11,Midwest,776,Meat B Gone,495,5,99
38,11,Northeast,288,Yellow Zonkers,134,35,6
39,4,South,416,Rotpunkt,220,92,20
40,11,Northeast,651,Purple Pain,105,54,1
41,6,West,870,Just The Fruit,160,40,20
42,7,Midwest,468,Just The Fruit,160,13,4
43,4,Midwest,643,Ultra-Salty Chips,454,62,22
44,12,Northeast,339,Mr Greens,447,93,91
45,2,West,19,Funky Pops,380,12,29
46,4,West,525,Only Pancakes,413,75,88
47,4,South,512,Mr Greens,447,35,64
48,12,Northeast,542,Only Pancakes,413,92,30
49,4,Midwest,770,Mr Greens,447,67,77
50,6,Midwest,676,Red Rock Candy,189,9,40
51,8,West,809,Farm Fresh,365,73,98
52,7,West,716,Mr Greens,447,30,12
53,7,South,511,Funky Pops,380,37,45
54,5,South,406,Red Rock Candy,189,71,80
55,8,Midwest,431,Crocodile Tears,143,76,87
56,5,West,802,Panda Gummies,104,56,69
57,12,Midwest,269,Panda Gummies,104,20,87
58,12,Midwest,739,Purple Pain,105,94,35
59,3,Northeast,644,Meat B Gone,495,63,9
60,4,South,302,Yellow Zonkers,134,87,54
61,5,Midwest,565,Mr Greens,447,81,8
62,12,Northeast,109,GMO Guardian,176,10,66
63,6,South,277,Mr Greens,447,49,4
64,10,Midwest,33,GMO Guardian,176,25,61
65,4,West,434,Just The Fruit,160,9,48
66,6,South,815,Grey Gummies,446,37,66
67,6,South,638,Mr Greens,447,56,37
68,4,Northeast,397,Purple Pain,105,85,16
69,11,West,169,Nap Be Gone,500,15,42
70,4,South,681,Power Gels,193,80,80
71,12,Midwest,930,Red Hot Chili Peppers,233,76,52
72,12,West,591,Ultra-Salty Chips,454,88,34
