ID,Month,Country,Region,State,Product,Per-Unit Price,Quantity,Order Subtotal,Quantity Discount
0,9,USA,South,FL,Only Pancakes,413,95,39235,3924
1,6,USA,West,HI,Big Waffle,268,93,24924,2492
2,5,USA,Northeast,RI,Grey Gummies,446,95,42370,4237
3,9,USA,Midwest,NE,Funky Pops,380,100,38000,3800
4,11,USA,South,NC,Future Toast,253,31,7843,0
5,8,USA,West,WA,Mr Greens,447,76,33972,0
6,8,USA,South,MD,Giant Gummies,347,93,32271,3227
7,1,USA,South,TN,Power Gels,193,11,2123,0
8,1,USA,South,FL,Red Hot Chili Peppers,233,24,5592,0
9,12,USA,South,DE,Nap Be Gone,500,67,33500,0
10,2,USA,Northeast,MA,Cheezos,372,63,23436,0
11,1,USA,South,NC,GMO Guardian,176,77,13552,0
12,4,USA,South,DE,Only Pancakes,413,86,35518,0
13,3,USA,South,KY,Rotpunkt,220,20,4400,0
14,2,USA,Midwest,IL,Red Hot Chili Peppers,233,82,19106,0
15,8,USA,Midwest,IL,Panda Gummies,104,33,3432,0
16,11,USA,Midwest,NE,Yellow Zonkers,134,29,3886,0
17,7,USA,West,CA,Grey Gummies,446,97,43262,4326
18,11,USA,South,NC,Future Toast,253,93,23529,2353
19,10,USA,Midwest,MO,Red Hot Chili Peppers,233,77,17941,0
20,12,USA,South,KY,Orange Creepies,300,88,26400,0
21,4,USA,West,CA,Big Waffle,268,7,1876,0
22,3,USA,West,NV,Cheezos,372,77,28644,0
23,7,USA,West,OR,Power Gels,193,15,2895,0
24,2,USA,Northeast,VT,PearApple,363,57,20691,0
25,1,USA,South,NC,GMO Guardian,176,35,6160,0
26,3,USA,South,FL,Meat B Gone,495,34,16830,0
27,9,USA,South,TN,Yellow Zonkers,134,43,5762,0
28,1,USA,West,CA,Ultra-Salty Chips,454,34,15436,0
29,10,USA,South,MD,Farm Fresh,365,14,5110,0
30,6,USA,South,TN,Red Rock Candy,189,55,10395,0
31,6,USA,West,WA,Panda Gummies,104,19,1976,0
32,6,USA,South,MD,Meat B Gone,495,91,45045,4505
33,12,USA,West,CA,GMO Guardian,176,46,8096,0
34,4,USA,South,NC,Big Waffle,268,83,22244,0
35,1,USA,South,TN,Mr Greens,447,17,7599,0
36,4,USA,South,MD,Meat B Gone,495,54,26730,0
37,8,USA,South,SC,Purple Pain,105,12,1260,0
38,4,USA,South,FL,Crocodile Tears,143,40,5720,0
39,4,USA,West,CA,Big Waffle,268,2,536,0
40,2,USA,Northeast,VT,Big Waffle,268,68,18224,0
